country,continent,population,date,total_cases,new_cases,total_deaths,new_deaths,total_recovered,total_tests
USA,North-America,331000000,2020-06-06,3442618,0,98282,0,3155594,66506732
USA,North-America,331000000,2020-06-07,3442618,0,98282,0,3155594,66506732
USA,North-America,331000000,2020-06-08,3442618,0,98282,0,3155594,66506732
USA,North-America,331000000,2020-06-09,3442618,0,98282,0,3179882,66506732
USA,North-America,331000000,2020-06-10,3442618,0,98282,0,3179882,66506732
USA,North-America,331000000,2020-06-11,3442618,0,98282,0,3239957,66506732
USA,North-America,331000000,2020-06-12,3442618,0,98282,0,3239957,66506732
USA,North-America,331000000,2020-06-13,3442618,0,98282,0,3239957,66506732
USA,North-America,331000000,2020-06-14,3442618,0,98282,0,3239957,66506732
USA,North-America,331000000,2020-06-15,3442618,0,98282,0,3239957,66506732
USA,North-America,331000000,2020-06-16,3442618,0,98282,0,3239957,66506732
USA,North-America,331000000,2020-06-17,3442618,0,98282,0,3239957,66506732
USA,North-America,331000000,2020-06-18,3442618,0,98282,0,3239957,66506732
India,Asia,1380000000,2020-03-01,5012,5012,50,50,4721,80219
India,Asia,1380000000,2020-03-02,5682,670,60,10,4721,84289
India,Asia,1380000000,2020-03-03,6708,1026,69,9,4721,108788
India,Asia,1380000000,2020-03-04,6925,217,72,3,4721,111321
India,Asia,1380000000,2020-03-05,8450,1525,87,15,4721,125907
India,Asia,1380000000,2020-03-06,9438,988,97,10,4721,141581
India,Asia,1380000000,2020-03-07,11344,1906,115,18,4721,181598
India,Asia,1380000000,2020-03-08,12558,1214,130,15,4721,194933
India,Asia,1380000000,2020-03-09,14174,1616,143,13,4721,221309
India,Asia,1380000000,2020-03-10,16568,2394,169,26,4721,234249
India,Asia,1380000000,2020-03-11,18280,1712,189,20,4721,294286
India,Asia,1380000000,2020-03-12,21826,3546,237,48,4721,321572
India,Asia,1380000000,2020-03-13,24422,2596,248,11,4721,333579
India,Asia,1380000000,2020-03-14,28145,3723,295,47,4721,420271
India,Asia,1380000000,2020-03-15,31804,3659,323,28,4721,500357
India,Asia,1380000000,2020-03-16,38125,6321,383,60,4809,649003
India,Asia,1380000000,2020-03-17,42228,4103,432,49,6075,649003
India,Asia,1380000000,2020-03-18,49127,6899,501,69,6075,706584
India,Asia,1380000000,2020-03-19,56006,6879,568,67,7588,954506
India,Asia,1380000000,2020-03-20,61496,5490,632,64,8358,955073
India,Asia,1380000000,2020-03-21,73158,11662,750,118,9634,1112440
India,Asia,1380000000,2020-03-22,82947,9789,855,105,10839,1209228
India,Asia,1380000000,2020-03-23,94553,11606,986,131,11313,1383671
India,Asia,1380000000,2020-03-24,105600,11047,1071,85,14132,1747287
India,Asia,1380000000,2020-03-25,120369,14769,1224,153,16052,1829436
India,Asia,1380000000,2020-03-26,142357,21988,1435,211,17896,2134332
India,Asia,1380000000,2020-03-27,168995,26638,1720,285,19436,2537340
India,Asia,1380000000,2020-03-28,176348,7353,1815,95,22473,2930005
India,Asia,1380000000,2020-03-29,209467,33119,2237,422,25700,3132169
India,Asia,1380000000,2020-03-30,232369,22902,2403,166,31383,3692589
India,Asia,1380000000,2020-03-31,273983,41614,2773,370,37350,4277469
India,Asia,1380000000,2020-04-01,308875,34892,3099,326,41659,4815801
India,Asia,1380000000,2020-04-02,358121,49246,3833,734,47699,5275592
India,Asia,1380000000,2020-04-03,361855,3734,3833,0,51180,5758719
India,Asia,1380000000,2020-04-04,441142,79287,4497,664,60823,7343393
India,Asia,1380000000,2020-04-05,495544,54402,4967,470,71462,7614985
India,Asia,1380000000,2020-04-06,578278,82734,5855,888,83331,8499858
India,Asia,1380000000,2020-04-07,644304,66026,6687,832,86220,9285892
India,Asia,1380000000,2020-04-08,732689,88385,7713,1026,101632,11396259
India,Asia,1380000000,2020-04-09,863921,131232,8356,643,124257,13129512
India,Asia,1380000000,2020-04-10,1013115,149194,10717,2361,152771,15527703
India,Asia,1380000000,2020-04-11,1013115,0,10717,0,152771,15618394
India,Asia,1380000000,2020-04-12,1212517,199402,12596,1879,176621,17303047
India,Asia,1380000000,2020-04-13,1393107,180590,14561,1965,200017,22302416
India,Asia,1380000000,2020-04-14,1554125,161018,15995,1434,223682,24225081
India,Asia,1380000000,2020-04-15,1728280,174155,17775,1780,268798,26528435
India,Asia,1380000000,2020-04-16,1879246,150966,19644,1869,327284,29289387
India,Asia,1380000000,2020-04-17,2130261,251015,21622,1978,327284,34340994
India,Asia,1380000000,2020-04-18,2500951,370690,24775,3153,377923,38635323
India,Asia,1380000000,2020-04-19,2813796,312845,28937,4162,403202,41509432
India,Asia,1380000000,2020-04-20,3035738,221942,31458,2521,498791,49499243
India,Asia,1380000000,2020-04-21,3267044,231306,33070,1612,590811,49499243
India,Asia,1380000000,2020-04-22,3708446,441402,37563,4493,636099,55063836
India,Asia,1380000000,2020-04-23,4036908,328462,41561,3998,720075,57339450
India,Asia,1380000000,2020-04-24,4527654,490746,45932,4371,858172,69785595
India,Asia,1380000000,2020-04-25,4878736,351082,50136,4204,890918,71229721
India,Asia,1380000000,2020-04-26,5185344,306608,54529,4393,1103381,77817369
India,Asia,1380000000,2020-04-27,5751731,566387,56693,2164,1208669,90608188
India,Asia,1380000000,2020-04-28,5945327,193596,59765,3072,1358095,91752578
India,Asia,1380000000,2020-04-29,6776030,830703,70092,10327,1570507,109703890
India,Asia,1380000000,2020-04-30,7315513,539483,75162,5070,1570507,114430408
India,Asia,1380000000,2020-05-01,7315513,0,75162,0,1981422,114430408
India,Asia,1380000000,2020-05-02,8057721,742208,83471,8309,2189685,122099494
India,Asia,1380000000,2020-05-03,8140845,83124,84395,924,2428615,122244847
India,Asia,1380000000,2020-05-04,9093523,952678,95170,10775,2774205,144632744
India,Asia,1380000000,2020-05-05,9463945,370422,95170,0,2793712,145968384
India,Asia,1380000000,2020-05-06,9532923,68978,99047,3877,3131415,145968384
India,Asia,1380000000,2020-05-07,10261315,728392,106042,6995,3462993,164776021
India,Asia,1380000000,2020-05-08,10261315,0,107483,1441,4113869,164776021
India,Asia,1380000000,2020-05-09,10421961,160646,107483,0,4113869,164776021
India,Asia,1380000000,2020-05-10,10737712,315751,107777,294,4590917,164776021
India,Asia,1380000000,2020-05-11,11150928,413216,112777,5000,4952507,175561339
India,Asia,1380000000,2020-05-12,11338750,187822,118689,5912,5334178,176782265
India,Asia,1380000000,2020-05-13,11733681,394931,118689,0,5769209,181245902
India,Asia,1380000000,2020-05-14,11733681,0,120149,1460,6784335,181245902
India,Asia,1380000000,2020-05-15,12354674,620993,129268,9119,6905043,182416927
India,Asia,1380000000,2020-05-16,12623357,268683,129268,0,7043028,192284719
India,Asia,1380000000,2020-05-17,12623357,0,130549,1281,7149489,196739728
India,Asia,1380000000,2020-05-18,12623357,0,130549,0,8261802,196739728
India,Asia,1380000000,2020-05-19,12936957,313600,133528,2979,8758072,197878700
India,Asia,1380000000,2020-05-20,13207836,270879,133528,0,8758072,198730794
India,Asia,1380000000,2020-05-21,13207836,0,134673,1145,9427634,206942610
India,Asia,1380000000,2020-05-22,13207836,0,139542,4869,9592503,206942610
India,Asia,1380000000,2020-05-23,13207836,0,139542,0,9717941,206942610
India,Asia,1380000000,2020-05-24,13699849,492013,144245,4703,9717941,219098473
India,Asia,1380000000,2020-05-25,13699849,0,144245,0,10442397,219426614
India,Asia,1380000000,2020-05-26,13699849,0,144245,0,10442397,219661316
India,Asia,1380000000,2020-05-27,13699849,0,144245,0,10442397,219661316
India,Asia,1380000000,2020-05-28,13699849,0,144245,0,10442397,219661316
India,Asia,1380000000,2020-05-29,13699849,0,144245,0,11247372,219661316
India,Asia,1380000000,2020-05-30,13699849,0,145148,903,11433744,219661316
India,Asia,1380000000,2020-05-31,13699849,0,145148,0,11807632,219661316
India,Asia,1380000000,2020-06-01,13952178,252329,145148,0,11807632,219661316
India,Asia,1380000000,2020-06-02,13952178,0,145148,0,11807632,219661316
India,Asia,1380000000,2020-06-03,13952178,0,145148,0,11807632,224165251
India,Asia,1380000000,2020-06-04,13952178,0,145148,0,12322932,224165251
India,Asia,1380000000,2020-06-05,13952178,0,145148,0,12322932,224165251
India,Asia,1380000000,2020-06-06,13952178,0,145148,0,12322932,224165251
India,Asia,1380000000,2020-06-07,14168695,216517,145148,0,13045739,224165251
India,Asia,1380000000,2020-06-08,14168695,0,145148,0,13045739,224165251
India,Asia,1380000000,2020-06-09,14168695,0,147425,2277,13045739,224165251
India,Asia,1380000000,2020-06-10,14168695,0,147425,0,13045739,224165251
India,Asia,1380000000,2020-06-11,14168695,0,147527,102,13045739,224165251
India,Asia,1380000000,2020-06-12,14168695,0,148382,855,13045739,224165251
India,Asia,1380000000,2020-06-13,14168695,0,148382,0,13045739,229188896
India,Asia,1380000000,2020-06-14,14250697,82002,150016,1634,13045739,229188896
India,Asia,1380000000,2020-06-15,14250697,0,150016,0,13045739,229188896
India,Asia,1380000000,2020-06-16,14250697,0,150016,0,13045739,237330604
India,Asia,1380000000,2020-06-17,14250697,0,150016,0,13045739,237330604
India,Asia,1380000000,2020-06-18,14250697,0,150016,0,13045739,237330604
Brazil,South-America,213000000,2020-03-01,2128,2128,38,38,1991,47126
Brazil,South-America,213000000,2020-03-02,2629,501,46,8,1991,59454
Brazil,South-America,213000000,2020-03-03,3125,496,57,11,1991,70766
Brazil,South-America,213000000,2020-03-04,3422,297,62,5,1994,74249
Brazil,South-America,213000000,2020-03-05,3969,547,72,10,1994,87282
Brazil,South-America,213000000,2020-03-06,4312,343,76,4,1994,91157
Brazil,South-America,213000000,2020-03-07,4762,450,86,10,1994,95474
Brazil,South-America,213000000,2020-03-08,5263,501,95,9,1994,123083
Brazil,South-America,213000000,2020-03-09,6013,750,109,14,1994,128544
Brazil,South-America,213000000,2020-03-10,7179,1166,131,22,1994,158096
Brazil,South-America,213000000,2020-03-11,7736,557,141,10,1994,187558
Brazil,South-America,213000000,2020-03-12,8836,1100,158,17,1994,187558
Brazil,South-America,213000000,2020-03-13,10013,1177,181,23,1994,232759
Brazil,South-America,213000000,2020-03-14,10952,939,191,10,1994,239573
Brazil,South-America,213000000,2020-03-15,12958,2006,235,44,1994,279731
Brazil,South-America,213000000,2020-03-16,13086,128,237,2,2145,295358
Brazil,South-America,213000000,2020-03-17,16258,3172,289,52,2419,350251
Brazil,South-America,213000000,2020-03-18,17996,1738,317,28,2900,448370
Brazil,South-America,213000000,2020-03-19,20248,2252,362,45,3235,448370
Brazil,South-America,213000000,2020-03-20,22342,2094,390,28,3486,499216
Brazil,South-America,213000000,2020-03-21,23900,1558,431,41,3873,499216
Brazil,South-America,213000000,2020-03-22,29408,5508,529,98,4261,626180
Brazil,South-America,213000000,2020-03-23,32108,2700,564,35,4851,670156
Brazil,South-America,213000000,2020-03-24,36706,4598,658,94,5771,894356
Brazil,South-America,213000000,2020-03-25,40573,3867,742,84,6331,946535
Brazil,South-America,213000000,2020-03-26,45330,4757,829,87,6850,1129148
Brazil,South-America,213000000,2020-03-27,54882,9552,1003,174,7902,1368413
Brazil,South-America,213000000,2020-03-28,56372,1490,1006,3,8976,1368413
Brazil,South-America,213000000,2020-03-29,63545,7173,1130,124,11309,1479726
Brazil,South-America,213000000,2020-03-30,70846,7301,1259,129,11309,1750386
Brazil,South-America,213000000,2020-03-31,79483,8637,1440,181,13583,1750386
Brazil,South-America,213000000,2020-04-01,88851,9368,1666,226,15630,1927775
Brazil,South-America,213000000,2020-04-02,98651,9800,1817,151,17449,2019733
Brazil,South-America,213000000,2020-04-03,107882,9231,1994,177,19035,2430903
Brazil,South-America,213000000,2020-04-04,124719,16837,2294,300,19970,2886802
Brazil,South-America,213000000,2020-04-05,135260,10541,2345,51,24939,3061559
Brazil,South-America,213000000,2020-04-06,147794,12534,2637,292,25724,3390277
Brazil,South-America,213000000,2020-04-07,167126,19332,2968,331,29224,3839039
Brazil,South-America,213000000,2020-04-08,192410,25284,3533,565,31731,4355498
Brazil,South-America,213000000,2020-04-09,208691,16281,3865,332,35712,4355498
Brazil,South-America,213000000,2020-04-10,233817,25126,4133,268,46882,5213256
Brazil,South-America,213000000,2020-04-11,252677,18860,4530,397,47850,5421048
Brazil,South-America,213000000,2020-04-12,273105,20428,4947,417,50070,5968857
Brazil,South-America,213000000,2020-04-13,300336,27231,5328,381,62281,7315298
Brazil,South-America,213000000,2020-04-14,304447,4111,5385,57,66908,7315298
Brazil,South-America,213000000,2020-04-15,358750,54303,6340,955,75466,7550796
Brazil,South-America,213000000,2020-04-16,378586,19836,6902,562,78795,8493144
Brazil,South-America,213000000,2020-04-17,420426,41840,7395,493,95765,9239695
Brazil,South-America,213000000,2020-04-18,425655,5229,7799,404,100505,10060966
Brazil,South-America,213000000,2020-04-19,459256,33601,8242,443,111181,10363072
Brazil,South-America,213000000,2020-04-20,509589,50333,9267,1025,125481,10793683
Brazil,South-America,213000000,2020-04-21,512786,3197,9471,204,143421,11646750
Brazil,South-America,213000000,2020-04-22,530367,17581,9471,0,167204,11770168
Brazil,South-America,213000000,2020-04-23,566285,35918,9979,508,191224,12141236
Brazil,South-America,213000000,2020-04-24,624978,58693,11292,1313,191224,12534618
Brazil,South-America,213000000,2020-04-25,679294,54316,11919,627,224180,15265164
Brazil,South-America,213000000,2020-04-26,680745,1451,12018,99,235389,15265164
Brazil,South-America,213000000,2020-04-27,698197,17452,12480,462,272734,16075924
Brazil,South-America,213000000,2020-04-28,713672,15475,12826,346,272734,17107060
Brazil,South-America,213000000,2020-04-29,714365,693,12826,0,327767,18630367
Brazil,South-America,213000000,2020-04-30,753773,39408,13401,575,348248,18630367
Brazil,South-America,213000000,2020-05-01,816375,62602,14796,1395,382771,18630367
Brazil,South-America,213000000,2020-05-02,816375,0,15019,223,382771,18630367
Brazil,South-America,213000000,2020-05-03,853922,37547,15019,0,406240,19619669
Brazil,South-America,213000000,2020-05-04,863557,9635,15875,856,465471,19619669
Brazil,South-America,213000000,2020-05-05,863557,0,15875,0,468551,19619669
Brazil,South-America,213000000,2020-05-06,911286,47729,15973,98,494459,20484281
Brazil,South-America,213000000,2020-05-07,918511,7225,15973,0,495230,20947262
Brazil,South-America,213000000,2020-05-08,918511,0,16593,620,517781,20947262
Brazil,South-America,213000000,2020-05-09,918511,0,16593,0,621128,21492022
Brazil,South-America,213000000,2020-05-10,924669,6158,16611,18,621128,21492022
Brazil,South-America,213000000,2020-05-11,925437,768,16864,253,632735,21562024
Brazil,South-America,213000000,2020-05-12,941406,15969,16864,0,632735,21562024
Brazil,South-America,213000000,2020-05-13,949173,7767,17060,196,632735,22036240
Brazil,South-America,213000000,2020-05-14,968523,19350,17516,456,681758,22036240
Brazil,South-America,213000000,2020-05-15,968523,0,17659,143,690989,22036240
Brazil,South-America,213000000,2020-05-16,968523,0,17961,302,709036,23361713
Brazil,South-America,213000000,2020-05-17,1025429,56906,18994,1033,724220,24374847
Brazil,South-America,213000000,2020-05-18,1025429,0,18994,0,808186,24374847
Brazil,South-America,213000000,2020-05-19,1025429,0,18994,0,808186,24374847
Brazil,South-America,213000000,2020-05-20,1025429,0,19240,246,826588,24374847
Brazil,South-America,213000000,2020-05-21,1025429,0,19240,0,826588,24374847
Brazil,South-America,213000000,2020-05-22,1025429,0,19240,0,869876,24374847
Brazil,South-America,213000000,2020-05-23,1025429,0,19240,0,869876,24374847
Brazil,South-America,213000000,2020-05-24,1025429,0,19240,0,869876,24374847
Brazil,South-America,213000000,2020-05-25,1025429,0,19240,0,869876,24374847
Brazil,South-America,213000000,2020-05-26,1025429,0,19240,0,869876,24374847
Brazil,South-America,213000000,2020-05-27,1035380,9951,19240,0,869876,24374847
Brazil,South-America,213000000,2020-05-28,1035380,0,19240,0,869876,24374847
Brazil,South-America,213000000,2020-05-29,1035380,0,19240,0,910462,24374847
Brazil,South-America,213000000,2020-05-30,1035380,0,19240,0,910462,24374847
Brazil,South-America,213000000,2020-05-31,1035380,0,19240,0,974832,24374847
Brazil,South-America,213000000,2020-06-01,1035380,0,19240,0,974832,24374847
Brazil,South-America,213000000,2020-06-02,1035380,0,19240,0,974832,24374847
Brazil,South-America,213000000,2020-06-03,1035380,0,19240,0,974832,24374847
Brazil,South-America,213000000,2020-06-04,1051873,16493,19240,0,975081,25380662
Brazil,South-America,213000000,2020-06-05,1051873,0,19240,0,975081,25380662
Brazil,South-America,213000000,2020-06-06,1051873,0,19240,0,975081,25380662
Brazil,South-America,213000000,2020-06-07,1051873,0,19240,0,975081,25380662
Brazil,South-America,213000000,2020-06-08,1051873,0,19240,0,975081,25380662
Brazil,South-America,213000000,2020-06-09,1051873,0,19240,0,975081,25380662
Brazil,South-America,213000000,2020-06-10,1051873,0,19240,0,975081,25380662
Brazil,South-America,213000000,2020-06-11,1051873,0,19240,0,975081,25380662
Brazil,South-America,213000000,2020-06-12,1052149,276,19240,0,975081,25380662
Brazil,South-America,213000000,2020-06-13,1052149,0,19240,0,975081,25380662
Brazil,South-America,213000000,2020-06-14,1052149,0,19240,0,975081,25380662
Brazil,South-America,213000000,2020-06-15,1052149,0,19240,0,975081,25380662
Brazil,South-America,213000000,2020-06-16,1052149,0,19240,0,975081,25380662
Brazil,South-America,213000000,2020-06-17,1052149,0,19240,0,975081,25380662
Brazil,South-America,213000000,2020-06-18,1052149,0,19240,0,975081,25380662
Russia,Europe,146000000,2020-03-01,19601,19601,267,267,17908,210337
Russia,Europe,146000000,2020-03-02,21572,1971,298,31,17908,213394
Russia,Europe,146000000,2020-03-03,24004,2432,339,41,17908,250136
Russia,Europe,146000000,2020-03-04,24405,401,339,0,18144,259877
Russia,Europe,146000000,2020-03-05,28462,4057,395,56,18180,291332
Russia,Europe,146000000,2020-03-06,30168,1706,421,26,18235,317093
Russia,Europe,146000000,2020-03-07,33603,3435,460,39,18362,317093
Russia,Europe,146000000,2020-03-08,36424,2821,508,48,18362,351347
Russia,Europe,146000000,2020-03-09,38573,2149,532,24,18362,372905
Russia,Europe,146000000,2020-03-10,42021,3448,562,30,18362,439019
Russia,Europe,146000000,2020-03-11,42575,554,597,35,18362,518428
Russia,Europe,146000000,2020-03-12,46735,4160,637,40,18362,518428
Russia,Europe,146000000,2020-03-13,51214,4479,712,75,18362,521438
Russia,Europe,146000000,2020-03-14,56642,5428,758,46,18362,579124
Russia,Europe,146000000,2020-03-15,63769,7127,861,103,18362,686250
Russia,Europe,146000000,2020-03-16,63769,0,868,7,18362,686250
Russia,Europe,146000000,2020-03-17,72102,8333,995,127,20503,697167
Russia,Europe,146000000,2020-03-18,75712,3610,1045,50,20912,816089
Russia,Europe,146000000,2020-03-19,81360,5648,1133,88,25725,833531
Russia,Europe,146000000,2020-03-20,96461,15101,1294,161,25725,1029946
Russia,Europe,146000000,2020-03-21,100228,3767,1377,83,27698,1029946
Russia,Europe,146000000,2020-03-22,113379,13151,1579,202,30385,1072556
Russia,Europe,146000000,2020-03-23,120991,7612,1705,126,34490,1278071
Russia,Europe,146000000,2020-03-24,122771,1780,1705,0,34513,1278071
Russia,Europe,146000000,2020-03-25,128791,6020,1810,105,37361,1346787
Russia,Europe,146000000,2020-03-26,156381,27590,2058,248,40678,1631161
Russia,Europe,146000000,2020-03-27,156947,566,2094,36,43957,1631161
Russia,Europe,146000000,2020-03-28,165460,8513,2310,216,48446,1727326
Russia,Europe,146000000,2020-03-29,188506,23046,2586,276,55959,1959215
Russia,Europe,146000000,2020-03-30,199735,11229,2851,265,55959,2094561
Russia,Europe,146000000,2020-03-31,209806,10071,2851,0,61546,2108309
Russia,Europe,146000000,2020-04-01,227920,18114,3165,314,65290,2335274
Russia,Europe,146000000,2020-04-02,248734,20814,3362,197,67623,2925013
Russia,Europe,146000000,2020-04-03,266422,17688,3681,319,84704,2925013
Russia,Europe,146000000,2020-04-04,291698,25276,4215,534,85176,3083590
Russia,Europe,146000000,2020-04-05,302526,10828,4215,0,93649,3163938
Russia,Europe,146000000,2020-04-06,324091,21565,4367,152,100923,3203342
Russia,Europe,146000000,2020-04-07,356648,32557,4894,527,104832,3699703
Russia,Europe,146000000,2020-04-08,377916,21268,5223,329,114846,3828508
Russia,Europe,146000000,2020-04-09,412784,34868,5740,517,142510,4434308
Russia,Europe,146000000,2020-04-10,422929,10145,5821,81,142510,4434308
Russia,Europe,146000000,2020-04-11,452430,29501,6267,446,142510,4434308
Russia,Europe,146000000,2020-04-12,465843,13413,6567,300,167899,4644368
Russia,Europe,146000000,2020-04-13,535574,69731,7337,770,184440,5684876
Russia,Europe,146000000,2020-04-14,535574,0,7337,0,184440,6168874
Russia,Europe,146000000,2020-04-15,579127,43553,7619,282,196448,6244780
Russia,Europe,146000000,2020-04-16,592405,13278,7890,271,205205,6244780
