City,Region,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind_Speed,AQI,AQI_Category
Delhi,Northern-India,2023-01-22,75.2,116.7,65.9,18.3,1.33,25.2,16.9,39.8,12.5,228.1,Poor
Delhi,Northern-India,2023-01-23,98.2,145.7,77.6,12.8,1.61,33.5,14.9,34.2,15.2,290.3,Poor
Delhi,Northern-India,2023-01-24,75.4,113.0,55.8,16.9,1.88,42.5,15.1,26.7,9.5,223.6,Poor
Delhi,Northern-India,2023-01-25,89.2,107.6,80.2,17.7,1.33,28.4,18.2,36.7,13.6,258.1,Poor
Delhi,Northern-India,2023-01-26,76.4,161.8,59.9,22.2,1.79,19.2,15.4,42.8,11.6,247.7,Poor
Delhi,Northern-India,2023-01-27,54.2,122.0,71.1,14.9,1.65,30.6,13.0,34.9,13.9,186.9,Moderate
Delhi,Northern-India,2023-01-28,83.6,100.1,60.9,17.1,1.62,22.2,17.0,34.1,15.5,237.3,Poor
Delhi,Northern-India,2023-01-29,70.7,119.9,69.9,17.9,1.4,33.4,15.8,36.7,6.2,221.1,Poor
Delhi,Northern-India,2023-01-30,78.2,115.5,62.2,18.7,1.8,18.6,16.4,41.4,2.0,232.9,Poor
Delhi,Northern-India,2023-01-31,74.0,150.7,76.3,15.3,1.85,32.5,17.0,36.8,8.3,241.6,Poor
Delhi,Northern-India,2023-02-01,80.3,121.7,81.7,18.8,1.5,29.3,18.0,38.3,17.5,245.6,Poor
Delhi,Northern-India,2023-02-02,65.6,144.9,63.2,22.6,1.6,43.2,19.6,39.8,7.2,219.2,Poor
Delhi,Northern-India,2023-02-03,99.6,161.6,72.0,14.6,1.55,35.1,13.6,46.9,9.8,298.4,Poor
Delhi,Northern-India,2023-02-04,63.2,145.0,59.5,15.3,1.61,22.5,15.2,38.9,6.4,211.6,Poor
Delhi,Northern-India,2023-02-05,83.8,98.6,53.3,21.4,1.73,28.9,15.6,34.1,4.8,235.7,Poor
Delhi,Northern-India,2023-02-06,62.5,157.8,55.7,7.1,1.26,27.7,12.2,44.1,3.9,212.4,Poor
Delhi,Northern-India,2023-02-07,58.3,170.1,54.7,18.8,1.73,37.1,13.5,33.7,10.9,210.5,Poor
Delhi,Northern-India,2023-02-08,81.0,135.6,66.8,12.5,1.68,31.9,15.9,38.7,13.5,246.8,Poor
Delhi,Northern-India,2023-02-09,62.1,103.6,75.9,24.0,1.84,28.2,12.2,37.1,5.3,199.4,Moderate
Delhi,Northern-India,2023-02-10,98.4,157.9,47.4,17.1,1.75,31.8,17.4,40.1,6.9,287.5,Poor
Delhi,Northern-India,2023-02-11,83.8,148.3,54.6,18.5,1.22,28.7,15.2,35.0,3.1,255.3,Poor
Delhi,Northern-India,2023-02-12,80.1,95.4,86.8,18.9,1.9,42.9,13.5,33.6,6.4,236.2,Poor
Delhi,Northern-India,2023-02-13,85.9,122.6,78.1,18.6,1.55,26.3,14.6,40.8,12.5,256.6,Poor
Delhi,Northern-India,2023-02-14,79.9,131.6,71.9,13.4,2.09,25.8,17.5,43.5,9.8,244.7,Poor
Delhi,Northern-India,2023-02-15,79.4,130.5,47.9,15.6,1.44,38.0,16.3,37.5,7.9,236.4,Poor
Delhi,Northern-India,2023-02-16,86.7,111.5,59.5,14.9,1.67,33.4,12.9,37.0,13.5,247.6,Poor
Delhi,Northern-India,2023-02-17,52.6,171.2,76.2,12.7,1.69,31.1,13.9,34.4,1.9,204.2,Poor
Delhi,Northern-India,2023-02-18,78.0,111.8,69.4,17.2,1.83,32.6,14.5,40.1,3.0,232.7,Poor
Delhi,Northern-India,2023-02-19,71.9,109.7,63.4,15.0,1.47,40.8,16.0,45.1,5.0,216.9,Poor
Delhi,Northern-India,2023-02-20,67.6,122.6,68.3,17.3,1.28,22.9,16.1,35.3,2.1,215.0,Poor
Delhi,Northern-India,2023-02-21,71.2,134.2,43.9,16.2,1.24,23.7,19.4,42.8,15.5,219.5,Poor
Delhi,Northern-India,2023-02-22,,120.2,61.6,16.5,1.59,27.2,13.3,40.3,5.9,251.2,Poor
Delhi,Northern-India,2023-02-23,75.8,133.3,52.5,14.3,1.4,37.8,15.5,39.2,14.6,231.1,Poor
Delhi,Northern-India,2023-02-24,103.9,121.2,77.9,12.0,1.76,43.2,15.8,45.7,3.5,292.5,Poor
Delhi,Northern-India,2023-02-25,70.8,105.6,59.7,17.1,1.75,29.0,15.7,45.5,8.1,212.3,Poor
Delhi,Northern-India,2023-02-26,100.5,103.7,60.2,15.2,1.85,28.7,13.2,29.0,9.8,273.6,Poor
Delhi,Northern-India,2023-02-27,62.9,132.4,59.8,16.0,1.19,31.7,,38.1,3.6,206.1,Poor
Delhi,Northern-India,2023-02-28,49.9,137.5,53.7,14.5,1.36,29.2,18.4,46.7,3.5,178.8,Moderate
Delhi,Northern-India,2023-03-01,71.5,60.4,60.9,18.3,1.48,42.4,16.2,38.2,6.7,196.3,Moderate
Delhi,Northern-India,2023-03-02,73.5,121.6,63.1,14.2,1.53,18.3,15.4,45.4,7.1,224.7,Poor
Delhi,Northern-India,2023-03-03,52.4,116.1,55.3,15.2,1.81,41.7,18.5,41.1,7.2,176.1,Moderate
Delhi,Northern-India,2023-03-04,69.2,97.8,45.7,14.8,1.12,31.6,,44.9,12.3,201.2,Poor
Delhi,Northern-India,2023-03-05,56.8,144.4,62.7,15.9,1.17,29.2,17.0,27.7,12.1,199.1,Moderate
Delhi,Northern-India,2023-03-06,73.4,132.1,46.2,11.3,1.15,32.4,17.8,38.6,4.5,223.1,Poor
Delhi,Northern-India,2023-03-07,81.7,104.9,51.6,12.0,1.43,39.3,16.5,42.2,11.2,231.5,Poor
Delhi,Northern-India,2023-03-08,54.4,96.9,60.2,18.8,1.14,36.5,17.9,41.1,11.4,174.7,Moderate
Delhi,Northern-India,2023-03-09,79.0,129.5,58.5,14.4,1.36,36.9,16.9,40.1,6.5,238.1,Poor
Delhi,Northern-India,2023-03-10,76.8,118.4,52.5,12.4,1.11,18.9,17.7,46.7,7.7,226.8,Poor
Delhi,Northern-India,2023-03-11,60.3,125.2,51.8,12.4,1.18,30.8,16.2,42.4,7.5,194.8,Moderate
Delhi,Northern-India,2023-03-12,87.8,101.0,38.9,17.1,1.81,32.1,17.7,56.1,3.1,239.8,Poor
Delhi,Northern-India,2023-03-13,73.3,105.5,61.9,13.3,1.17,42.4,18.3,52.4,5.9,217.3,Poor
Delhi,Northern-India,2023-03-14,70.0,118.9,61.6,15.1,1.77,29.8,17.1,38.9,11.1,216.0,Poor
Delhi,Northern-India,2023-03-15,57.2,98.6,65.5,16.4,1.78,37.4,21.6,43.8,5.5,182.5,Moderate
Delhi,Northern-India,2023-03-16,69.2,107.7,58.6,15.7,1.08,43.3,22.0,43.3,15.0,209.1,Poor
Delhi,Northern-India,2023-03-17,69.9,106.4,51.8,11.0,1.53,36.6,17.2,37.0,18.2,207.2,Poor
Delhi,Northern-India,2023-03-18,74.3,122.2,66.6,19.2,1.51,38.2,20.3,45.4,8.4,228.7,Poor
Delhi,Northern-India,2023-03-19,57.6,137.1,50.1,14.1,1.1,30.2,18.2,43.9,2.5,193.6,Moderate
Delhi,Northern-India,2023-03-20,74.4,111.7,61.5,16.2,1.36,31.8,17.2,51.0,5.4,222.5,Poor
Delhi,Northern-India,2023-03-21,69.8,133.4,56.5,18.7,1.42,31.8,17.8,47.6,4.0,220.7,Poor
Delhi,Northern-India,2023-03-22,64.4,116.8,64.3,15.5,1.3,28.1,17.6,50.0,8.9,204.4,Poor
Delhi,Northern-India,2023-03-23,59.2,121.8,54.3,11.4,1.39,44.2,17.8,48.3,1.9,191.7,Moderate
Delhi,Northern-India,2023-03-24,65.2,140.0,65.3,9.7,1.08,39.3,18.7,51.4,11.0,214.5,Poor
Delhi,Northern-India,2023-03-25,81.8,124.8,35.4,13.3,1.33,39.9,19.1,44.7,4.4,234.9,Poor
Delhi,Northern-India,2023-03-26,63.9,82.2,57.4,17.2,1.24,36.1,17.1,57.9,10.5,187.7,Moderate
Delhi,Northern-India,2023-03-27,60.6,116.2,48.1,11.2,1.42,27.7,19.8,46.8,5.0,190.4,Moderate
Delhi,Northern-India,2023-03-28,74.5,102.4,46.1,17.5,1.58,35.6,22.4,52.5,4.5,214.8,Poor
Delhi,Northern-India,2023-03-29,49.4,108.6,59.8,13.3,1.17,36.9,20.6,54.0,10.8,167.9,Moderate
Delhi,Northern-India,2023-03-30,61.3,123.9,53.5,15.9,1.28,34.8,17.1,52.5,5.7,197.5,Moderate
Delhi,Northern-India,2023-03-31,60.1,91.3,43.8,18.1,1.19,31.5,22.7,51.3,7.5,179.4,Moderate
Delhi,Northern-India,2023-04-01,60.8,116.0,51.3,16.2,0.89,30.3,20.9,49.9,5.4,192.7,Moderate
Delhi,Northern-India,2023-04-02,62.3,89.6,41.4,13.2,1.42,31.2,21.1,50.9,6.9,181.8,Moderate
Delhi,Northern-India,2023-04-03,65.9,123.1,55.0,11.8,1.44,36.2,18.7,47.8,4.7,206.5,Poor
Delhi,Northern-India,2023-04-04,65.4,116.8,44.9,16.1,1.39,34.6,18.1,58.0,5.6,200.8,Poor
Delhi,Northern-India,2023-04-05,63.8,80.3,53.9,15.5,0.99,23.0,19.3,53.6,20.2,185.4,Moderate
Delhi,Northern-India,2023-04-06,62.3,103.3,40.1,15.3,1.33,39.3,18.5,50.1,14.2,187.1,Moderate
Delhi,Northern-India,2023-04-07,57.9,90.0,41.7,10.6,0.96,40.7,18.0,52.1,17.8,172.2,Moderate
Delhi,Northern-India,2023-04-08,59.0,85.6,44.8,12.1,1.13,26.0,18.9,55.1,8.2,174.1,Moderate
Delhi,Northern-India,2023-04-09,42.7,89.1,42.0,14.4,1.37,32.4,19.6,58.8,3.7,140.8,Moderate
Delhi,Northern-India,2023-04-10,56.5,98.3,55.7,13.2,1.08,17.9,19.9,52.7,3.6,177.4,Moderate
Delhi,Northern-India,2023-04-11,58.0,104.6,52.4,12.9,1.14,36.1,20.7,48.5,9.0,181.9,Moderate
Delhi,Northern-India,2023-04-12,49.4,90.0,43.5,15.1,1.3,,20.5,54.5,8.2,155.9,Moderate
Delhi,Northern-India,2023-04-13,49.8,95.5,58.4,12.9,1.3,26.8,23.4,46.1,11.3,162.7,Moderate
Delhi,Northern-India,2023-04-14,66.4,76.3,56.3,12.7,1.24,32.4,20.5,62.6,11.2,189.3,Moderate
Delhi,Northern-India,2023-04-15,43.3,68.2,39.1,7.9,1.33,33.4,20.3,47.8,3.0,131.5,Moderate
Delhi,Northern-India,2023-04-16,42.9,106.6,54.4,14.8,1.28,52.5,24.5,59.1,7.7,152.1,Moderate
Delhi,Northern-India,2023-04-17,61.5,106.9,34.5,12.7,1.19,33.1,20.1,54.9,9.5,184.8,Moderate
Delhi,Northern-India,2023-04-18,62.5,97.5,25.5,11.5,1.22,46.7,24.0,52.1,1.9,180.2,Moderate
Delhi,Northern-India,2023-04-19,64.4,100.2,42.2,10.6,1.07,41.6,20.8,59.6,2.7,190.2,Moderate
Delhi,Northern-India,2023-04-20,44.9,83.4,49.1,15.6,1.13,34.1,27.9,57.3,5.4,145.6,Moderate
Delhi,Northern-India,2023-04-21,49.7,75.2,32.7,7.2,0.95,36.0,25.0,68.5,3.5,145.7,Moderate
Delhi,Northern-India,2023-04-22,49.5,86.4,53.6,13.8,1.38,27.1,24.4,51.4,9.1,157.4,Moderate
Delhi,Northern-India,2023-04-23,58.1,90.0,47.8,12.2,1.09,29.9,25.9,62.3,5.7,174.9,Moderate
Delhi,Northern-India,2023-04-24,57.6,89.2,53.9,14.4,1.25,40.0,21.0,61.3,7.6,175.8,Moderate
Delhi,Northern-India,2023-04-25,41.9,94.6,38.3,10.5,0.83,34.4,24.5,65.0,13.2,139.5,Moderate
Delhi,Northern-India,2023-04-26,54.9,71.6,41.5,15.6,1.02,49.6,25.3,58.6,3.1,159.5,Moderate
Delhi,Northern-India,2023-04-27,57.5,83.0,45.6,10.7,1.02,33.0,27.2,61.3,9.7,169.8,Moderate
Delhi,Northern-India,2023-04-28,51.2,77.4,,11.2,1.23,42.7,22.5,52.5,5.6,151.0,Moderate
Delhi,Northern-India,2023-04-29,59.9,79.1,43.6,11.3,0.84,33.9,27.7,64.9,15.0,172.9,Moderate
Delhi,Northern-India,2023-04-30,54.2,95.3,47.3,11.1,1.0,38.1,24.3,63.0,7.2,168.3,Moderate
Delhi,Northern-India,2023-05-01,50.0,75.8,44.4,,1.0,33.2,24.2,60.2,2.8,150.9,Moderate
Delhi,Northern-India,2023-05-02,53.3,89.8,33.8,10.8,1.11,45.6,22.4,60.1,4.3,160.1,Moderate
Delhi,Northern-India,2023-05-03,51.3,76.1,43.9,7.7,1.02,41.6,21.8,65.8,4.7,152.8,Moderate
Delhi,Northern-India,2023-05-04,39.4,72.5,43.2,10.9,1.19,38.0,24.0,63.1,7.8,126.9,Moderate
Delhi,Northern-India,2023-05-05,49.3,74.2,40.6,13.8,0.88,35.3,27.0,59.7,3.7,148.1,Moderate
Delhi,Northern-India,2023-05-06,48.8,67.6,51.1,8.3,0.88,34.3,25.6,69.4,15.8,146.6,Moderate
Delhi,Northern-India,2023-05-07,56.2,72.9,40.2,10.8,0.82,41.3,27.9,64.1,2.3,161.4,Moderate
Delhi,Northern-India,2023-05-08,52.1,79.7,44.1,10.3,0.68,30.0,25.8,63.8,7.0,156.5,Moderate
Delhi,Northern-India,2023-05-09,39.2,60.0,39.6,9.5,0.71,24.0,24.4,71.4,15.2,120.1,Moderate
Delhi,Northern-India,2023-05-10,32.8,85.8,32.6,9.6,0.96,32.9,23.9,61.0,2.9,114.9,Moderate
Delhi,Northern-India,2023-05-11,40.5,92.6,40.6,8.2,0.95,42.0,27.3,67.9,11.6,135.9,Moderate
Delhi,Northern-India,2023-05-12,50.3,77.6,36.5,8.8,0.97,39.3,26.1,62.4,12.0,149.5,Moderate
Delhi,Northern-India,2023-05-13,55.7,50.3,31.8,12.3,0.98,,29.8,63.5,2.4,149.0,Moderate
Delhi,Northern-India,2023-05-14,48.9,70.0,33.4,9.2,0.74,33.8,25.8,70.3,9.5,142.6,Moderate
Delhi,Northern-India,2023-05-15,35.4,98.4,33.7,10.4,1.11,33.3,22.3,73.4,12.4,125.9,Moderate
Delhi,Northern-India,2023-05-16,47.8,77.3,35.1,7.3,1.02,25.7,26.1,64.9,10.0,143.3,Moderate
Delhi,Northern-India,2023-05-17,32.5,69.1,38.4,10.2,0.8,36.5,28.2,65.3,6.4,109.4,Moderate
Delhi,Northern-India,2023-05-18,43.8,73.7,33.2,13.3,0.91,35.4,27.2,72.6,8.7,134.1,Moderate
Delhi,Northern-India,2023-05-19,43.8,81.6,40.8,8.3,0.57,36.4,26.5,64.1,8.7,138.4,Moderate
Delhi,Northern-India,2023-05-20,42.9,64.8,33.7,5.0,0.72,47.2,29.3,66.0,13.1,127.2,Moderate
Delhi,Northern-India,2023-05-21,41.0,66.3,26.9,9.0,0.81,39.7,27.5,66.4,13.6,122.4,Moderate
Delhi,Northern-India,2023-05-22,44.6,64.7,39.2,10.5,0.73,44.9,28.0,59.2,5.7,133.3,Moderate
Delhi,Northern-India,2023-05-23,32.7,74.0,33.3,9.1,0.91,41.6,25.3,69.3,9.7,110.0,Moderate
Delhi,Northern-India,2023-05-24,45.3,35.1,36.4,,0.88,47.3,27.3,63.1,12.6,122.0,Moderate
Delhi,Northern-India,2023-05-25,39.1,66.9,30.6,10.9,0.73,36.0,28.7,58.2,6.3,120.3,Moderate
Delhi,Northern-India,2023-05-26,38.7,64.7,37.5,8.2,0.63,31.1,30.9,67.1,6.4,120.0,Moderate
Delhi,Northern-India,2023-05-27,43.6,63.2,36.7,7.6,1.01,50.2,27.8,69.2,2.5,129.4,Moderate
Delhi,Northern-India,2023-05-28,28.8,69.4,39.6,8.7,0.93,39.1,27.5,81.5,14.6,101.8,Moderate
Delhi,Northern-India,2023-05-29,42.6,73.0,39.0,9.4,1.01,38.0,30.8,73.3,15.4,132.1,Moderate
Delhi,Northern-India,2023-05-30,41.3,55.5,22.8,10.2,0.94,28.6,29.7,68.9,3.6,117.9,Moderate
Delhi,Northern-India,2023-05-31,38.4,48.5,33.8,7.9,0.64,27.7,27.9,70.8,5.9,111.7,Moderate
Delhi,Northern-India,2023-06-01,39.6,60.3,27.4,7.1,0.66,32.6,31.7,71.9,6.6,117.0,Moderate
Delhi,Northern-India,2023-06-02,32.4,69.5,24.6,8.6,0.66,17.3,29.9,60.9,6.7,105.0,Moderate
Delhi,Northern-India,2023-06-03,34.9,56.5,30.6,6.8,0.67,37.9,31.2,70.5,7.6,106.5,Moderate
Delhi,Northern-India,2023-06-04,27.9,77.5,32.5,9.6,0.66,37.7,30.5,73.5,8.3,101.2,Moderate
Delhi,Northern-India,2023-06-05,30.0,51.2,27.3,6.8,0.7,40.0,28.3,72.6,3.6,93.1,Satisfactory
Delhi,Northern-India,2023-06-06,29.4,61.0,34.7,8.5,0.71,30.6,31.4,70.3,3.0,98.3,Satisfactory
Delhi,Northern-India,2023-06-07,38.2,70.9,24.4,7.1,0.75,,30.6,72.7,11.4,117.3,Moderate
Delhi,Northern-India,2023-06-08,32.0,73.0,37.5,7.2,0.9,37.0,29.8,78.1,15.3,109.2,Moderate
Delhi,Northern-India,2023-06-09,25.6,56.0,30.1,9.3,0.83,34.6,30.8,69.5,11.1,87.0,Satisfactory
Delhi,Northern-India,2023-06-10,35.5,57.5,23.7,5.7,0.48,28.9,29.5,69.2,5.4,105.8,Moderate
Delhi,Northern-India,2023-06-11,35.3,46.2,29.6,8.9,0.67,47.4,33.0,78.8,5.1,103.2,Moderate
Delhi,Northern-India,2023-06-12,36.1,42.8,28.8,9.4,0.94,35.4,,76.6,19.6,103.5,Moderate
Delhi,Northern-India,2023-06-13,34.5,45.3,27.3,4.7,0.75,32.8,30.5,73.9,12.4,99.6,Satisfactory
Delhi,Northern-India,2023-06-14,32.6,50.8,35.6,8.4,0.79,35.1,30.2,64.1,13.5,101.1,Moderate
Delhi,Northern-India,2023-06-15,28.9,54.3,28.6,4.5,0.68,39.1,31.7,64.0,3.0,91.8,Satisfactory
Delhi,Northern-India,2023-06-16,,58.6,25.3,8.2,0.66,31.0,33.2,77.9,2.3,98.0,Satisfactory
Delhi,Northern-India,2023-06-17,38.8,50.1,26.4,7.9,0.69,44.8,31.8,78.8,11.3,111.0,Moderate
Delhi,Northern-India,2023-06-18,,51.3,29.4,7.4,0.63,45.3,33.2,74.5,2.5,103.4,Moderate
Delhi,Northern-India,2023-06-19,25.2,63.5,26.8,9.4,0.68,35.0,34.2,71.1,12.7,88.3,Satisfactory
Delhi,Northern-India,2023-06-20,26.7,52.5,22.6,9.4,0.7,45.6,34.3,67.0,5.1,85.7,Satisfactory
Delhi,Northern-India,2023-06-21,38.5,65.7,24.8,6.0,0.72,35.9,29.1,72.9,13.2,115.7,Moderate
Delhi,Northern-India,2023-06-22,25.9,59.4,27.1,6.3,0.72,23.7,36.0,70.6,11.9,87.4,Satisfactory
Delhi,Northern-India,2023-06-23,23.9,66.0,25.4,10.7,0.58,34.4,34.8,70.3,12.2,86.3,Satisfactory
Delhi,Northern-India,2023-06-24,28.7,48.0,19.9,9.9,0.63,36.8,31.8,74.6,13.8,87.6,Satisfactory
Delhi,Northern-India,2023-06-25,34.1,59.6,23.9,,0.76,34.9,33.3,64.6,4.6,103.8,Moderate
Delhi,Northern-India,2023-06-26,18.4,58.9,23.7,6.6,0.71,27.7,33.8,74.2,15.4,70.6,Satisfactory
Delhi,Northern-India,2023-06-27,31.0,55.7,24.7,8.4,0.66,30.3,36.5,60.6,13.4,96.5,Satisfactory
Delhi,Northern-India,2023-06-28,27.9,50.6,26.4,8.7,0.62,46.3,29.6,74.6,11.1,88.5,Satisfactory
Delhi,Northern-India,2023-06-29,45.6,67.8,30.1,6.0,0.59,35.5,33.3,70.2,4.5,133.1,Moderate
Delhi,Northern-India,2023-06-30,31.3,56.0,28.1,7.2,0.67,33.7,37.7,78.6,9.0,98.0,Satisfactory
Delhi,Northern-India,2023-07-01,31.7,58.3,27.1,6.5,0.68,48.8,33.5,74.6,8.2,99.4,Satisfactory
Delhi,Northern-India,2023-07-02,29.1,44.3,28.1,4.9,0.6,50.9,34.3,67.3,10.6,88.2,Satisfactory
Delhi,Northern-India,2023-07-03,22.8,53.1,31.0,6.0,0.69,35.7,35.3,68.8,3.7,79.7,Satisfactory
Delhi,Northern-India,2023-07-04,28.4,62.1,21.2,7.8,0.5,32.7,37.0,73.0,4.1,92.4,Satisfactory
Delhi,Northern-India,2023-07-05,35.4,54.2,28.8,7.7,0.64,52.3,32.8,65.3,4.9,106.2,Moderate
Delhi,Northern-India,2023-07-06,32.6,60.5,27.5,7.5,0.6,42.6,,69.2,10.2,102.4,Moderate
Delhi,Northern-India,2023-07-07,22.8,47.4,27.4,6.4,0.59,38.4,33.2,69.6,2.7,76.4,Satisfactory
Delhi,Northern-India,2023-07-08,39.3,59.7,24.3,6.9,0.62,46.5,34.4,87.3,3.9,115.1,Moderate
Delhi,Northern-India,2023-07-09,25.5,46.6,26.6,4.9,0.75,28.2,33.3,72.5,4.0,81.2,Satisfactory
Delhi,Northern-India,2023-07-10,31.8,63.0,24.8,7.9,0.71,40.4,31.1,75.2,4.6,100.9,Moderate
Delhi,Northern-India,2023-07-11,26.6,41.0,24.0,6.0,0.4,38.7,33.4,74.4,6.1,80.7,Satisfactory
Delhi,Northern-India,2023-07-12,38.2,52.6,22.0,8.1,0.63,36.0,32.8,60.5,4.7,109.5,Moderate
Delhi,Northern-India,2023-07-13,27.1,48.3,24.5,5.5,0.71,47.0,32.2,71.5,6.9,84.7,Satisfactory
Delhi,Northern-India,2023-07-14,33.8,38.3,24.1,8.0,0.77,44.3,34.3,78.6,9.4,95.1,Satisfactory
Delhi,Northern-India,2023-07-15,35.0,55.6,17.3,6.5,0.79,45.3,36.5,78.3,9.3,102.3,Moderate
Delhi,Northern-India,2023-07-16,27.2,48.2,32.3,9.5,0.56,36.8,30.0,68.1,1.7,87.9,Satisfactory
Delhi,Northern-India,2023-07-17,26.8,52.3,23.2,7.5,0.75,47.7,39.6,78.5,6.8,85.7,Satisfactory
Delhi,Northern-India,2023-07-18,31.1,44.1,21.6,6.3,0.65,34.3,36.6,80.1,4.4,90.7,Satisfactory
Delhi,Northern-India,2023-07-19,29.1,52.5,29.4,7.5,0.68,37.8,33.7,75.4,16.4,92.5,Satisfactory
Delhi,Northern-India,2023-07-20,28.8,55.9,22.6,8.2,0.53,40.2,31.8,73.2,2.6,91.3,Satisfactory
Delhi,Northern-India,2023-07-21,28.6,44.1,24.5,6.7,0.51,25.8,36.5,72.8,10.4,86.5,Satisfactory
Delhi,Northern-India,2023-07-22,34.3,57.9,27.8,7.9,0.52,40.3,35.4,76.3,14.2,105.1,Moderate
Delhi,Northern-India,2023-07-23,34.5,61.4,25.9,7.7,0.56,41.8,36.5,77.3,8.9,106.4,Moderate
Delhi,Northern-India,2023-07-24,33.4,51.7,27.2,5.3,0.62,48.2,35.2,72.8,7.8,100.0,Satisfactory
Delhi,Northern-India,2023-07-25,33.6,46.6,23.4,6.6,0.69,42.7,34.5,76.6,9.2,97.5,Satisfactory
Delhi,Northern-India,2023-07-26,25.3,61.3,24.3,5.9,0.71,34.8,31.7,83.9,4.1,86.1,Satisfactory
Delhi,Northern-India,2023-07-27,31.6,54.0,32.0,4.7,0.5,62.7,37.3,79.5,4.4,98.5,Satisfactory
Delhi,Northern-India,2023-07-28,28.2,55.4,26.1,7.0,0.63,52.5,35.8,68.0,7.5,90.6,Satisfactory
Delhi,Northern-India,2023-07-29,33.0,56.6,20.9,7.6,0.68,31.0,33.4,80.4,10.9,99.7,Satisfactory
Delhi,Northern-India,2023-07-30,23.4,41.5,25.9,8.8,0.58,38.3,32.6,81.1,15.0,75.2,Satisfactory
Delhi,Northern-India,2023-07-31,30.8,49.9,24.1,8.2,0.81,46.9,32.4,67.9,7.2,93.5,Satisfactory
Delhi,Northern-India,2023-08-01,40.8,63.2,23.4,7.9,0.74,30.1,37.0,77.7,1.2,119.5,Moderate
Delhi,Northern-India,2023-08-02,30.2,54.7,21.9,6.4,0.69,58.0,36.0,73.0,4.7,93.1,Satisfactory
Delhi,Northern-India,2023-08-03,34.5,51.2,20.0,8.0,0.75,26.3,33.4,71.9,8.3,100.6,Moderate
Delhi,Northern-India,2023-08-04,30.4,59.5,20.0,7.6,0.65,39.7,34.0,75.3,10.0,95.2,Satisfactory
Delhi,Northern-India,2023-08-05,28.1,63.3,26.5,6.5,0.83,38.6,35.9,66.0,8.1,93.6,Satisfactory
Delhi,Northern-India,2023-08-06,35.6,41.4,26.0,9.6,0.61,39.1,37.2,79.4,16.1,101.0,Moderate
Delhi,Northern-India,2023-08-07,34.2,55.0,25.7,6.6,0.78,45.1,35.2,76.5,7.1,102.8,Moderate
Delhi,Northern-India,2023-08-08,20.4,42.2,26.6,5.7,0.47,38.1,37.5,73.5,6.6,68.8,Satisfactory
