Date,Open,High,Low,Close,Adj Close,Volume,Company,Sector,Moving_Average_20,Moving_Average_50,Daily_Return
2021-01-24,96.66,97.48,95.64,96.43,96.68,1027281.0,Microsoft,Technology,100.94,,-0.0137
2021-01-25,95.82,97.19,94.37,95.15,95.22,4461707.0,Microsoft,Technology,100.54,,-0.0133
2021-01-26,95.96,96.8,95.09,96.28,95.92,4550696.0,Apple,Technology,100.22,,0.0119
2021-01-27,94.89,95.71,94.07,95.16,95.29,4315272.0,Amazon,E-Commerce,99.83,,-0.0116
2021-01-28,95.17,96.25,94.14,95.22,95.19,3480145.0,Microsoft,Technology,99.35,,0.0006
2021-01-29,95.13,95.55,94.05,95.21,95.12,2973382.0,Amazon,E-Commerce,98.89,,-0.0001
2021-01-30,95.46,96.07,93.7,94.19,94.24,3155450.0,Tesla,Automotive,98.41,,-0.0107
2021-01-31,93.48,95.02,92.41,94.04,94.13,1490179.0,Tesla,Automotive,97.89,,-0.0016
2021-02-01,94.92,95.71,94.48,95.1,95.24,3871414.0,Microsoft,Technology,97.43,,0.0113
2021-02-02,,96.31,94.57,95.58,95.82,846470.0,Tesla,Automotive,97.05,,0.005
2021-02-03,95.82,96.85,93.46,94.45,94.53,2032893.0,Apple,Technology,96.7,,-0.0118
2021-02-04,94.96,96.4,94.73,95.47,95.2,4447633.0,Microsoft,Technology,96.44,,0.0108
2021-02-05,94.96,95.84,93.12,93.95,93.86,1249164.0,Microsoft,Technology,96.15,,-0.0159
2021-02-06,95.18,95.88,93.62,94.28,94.87,1672762.0,Microsoft,Technology,95.92,,0.0035
2021-02-07,92.11,93.71,91.54,92.8,92.94,2018517.0,Tesla,Automotive,95.61,,-0.0157
2021-02-08,91.34,92.11,89.63,90.84,91.31,3559544.0,Tesla,Automotive,95.24,,-0.0211
2021-02-09,92.07,93.01,89.85,90.45,90.73,2930095.0,Microsoft,Technology,94.97,,-0.0043
2021-02-10,91.8,93.52,91.25,92.87,92.92,3529985.0,Amazon,E-Commerce,94.68,,0.0268
2021-02-11,92.06,93.6,91.24,92.86,92.92,1411414.0,Tesla,Automotive,94.4,,-0.0001
2021-02-12,91.76,92.26,90.4,91.4,91.4,4285727.0,Tesla,Automotive,94.09,,-0.0157
2021-02-13,91.24,92.88,90.48,92.09,91.74,115588.0,Microsoft,Technology,93.87,,0.0075
2021-02-14,89.94,90.57,88.79,90.02,90.02,2914268.0,Amazon,E-Commerce,93.61,,-0.0225
2021-02-15,88.94,90.15,87.98,89.68,89.92,557301.0,Microsoft,Technology,93.28,,-0.0038
2021-02-16,89.11,90.11,88.96,89.24,89.12,3962230.0,Tesla,Automotive,92.99,,-0.0049
2021-02-17,,90.89,89.12,90.03,90.11,3310101.0,Microsoft,Technology,92.73,,0.0089
2021-02-18,90.61,91.64,89.47,90.1,90.27,4117763.0,Microsoft,Technology,92.47,,0.0008
2021-02-19,87.95,89.05,87.0,88.38,88.2,4825296.0,Microsoft,Technology,92.18,96.75,-0.0191
2021-02-20,89.22,90.14,88.58,88.59,88.5,147361.0,Amazon,E-Commerce,91.91,96.52,0.0024
2021-02-21,89.08,90.05,86.68,88.25,88.05,2339665.0,Microsoft,Technology,91.57,96.27,-0.0038
2021-02-22,86.99,88.89,86.03,87.95,87.79,4260244.0,Tesla,Automotive,91.18,96.02,-0.0034
2021-02-23,88.79,89.34,87.4,88.24,87.98,4308981.0,Microsoft,Technology,90.87,95.74,0.0033
2021-02-24,90.24,91.09,88.82,89.97,89.79,4059978.0,Amazon,E-Commerce,90.6,95.47,0.0196
2021-02-25,89.96,92.22,88.45,91.31,91.59,2058970.0,Apple,Technology,90.47,95.24,0.0149
2021-02-26,90.56,91.36,88.37,89.43,89.25,1815979.0,Amazon,E-Commerce,90.22,94.97,-0.0206
2021-02-27,89.62,89.8,88.45,89.53,89.56,3523604.0,Microsoft,Technology,90.06,94.67,0.0011
2021-02-28,89.39,90.84,88.55,90.0,89.89,2608894.0,Apple,Technology,90.02,94.38,0.0052
2021-03-01,90.69,92.42,89.94,90.96,91.19,1944348.0,Microsoft,Technology,90.04,94.12,0.0107
2021-03-02,90.52,91.21,89.62,90.28,90.54,859848.0,Amazon,E-Commerce,89.92,93.84,-0.0075
2021-03-03,90.09,91.01,89.54,90.43,90.6,1509277.0,Apple,Technology,89.79,93.56,0.0017
2021-03-04,89.22,90.13,88.6,89.19,89.25,1692023.0,Apple,Technology,89.68,93.28,-0.0137
2021-03-05,87.29,88.19,86.74,87.13,87.09,222366.0,Microsoft,Technology,89.44,92.99,-0.0231
2021-03-06,88.65,90.16,87.87,89.0,88.76,2393316.0,Microsoft,Technology,89.38,92.76,0.0215
2021-03-07,89.22,90.79,88.92,90.37,90.75,892644.0,Amazon,E-Commerce,89.42,92.57,0.0154
2021-03-08,89.79,90.81,88.61,89.47,89.32,1639152.0,Microsoft,Technology,89.43,92.38,-0.01
2021-03-09,90.4,91.85,89.61,90.87,91.01,923837.0,Apple,Technology,89.47,92.22,0.0156
2021-03-10,90.85,92.31,90.0,91.56,91.77,492776.0,Tesla,Automotive,89.55,92.09,0.0076
2021-03-11,91.19,92.09,89.82,90.47,90.35,456440.0,Tesla,Automotive,89.65,91.98,-0.0119
2021-03-12,91.48,92.59,89.74,91.47,91.68,941618.0,Amazon,E-Commerce,89.79,91.84,0.0111
2021-03-13,92.77,94.71,91.57,93.65,93.8,1061743.0,Microsoft,Technology,90.06,91.74,0.0238
2021-03-14,91.89,92.5,91.46,92.04,92.39,4829124.0,Amazon,E-Commerce,90.27,91.63,-0.0172
2021-03-15,93.84,94.89,92.44,93.31,93.21,2407278.0,Tesla,Automotive,90.52,91.57,0.0138
2021-03-16,91.99,92.77,90.91,91.53,91.27,1135340.0,Tesla,Automotive,90.6,91.49,-0.0191
2021-03-17,92.27,93.38,91.78,92.56,92.46,3462079.0,Microsoft,Technology,90.66,91.42,0.0113
2021-03-18,93.45,94.27,91.77,92.17,92.21,3574412.0,Apple,Technology,90.8,91.36,-0.0042
2021-03-19,92.19,93.47,91.26,92.72,92.73,203021.0,Microsoft,Technology,90.96,91.31,0.006
2021-03-20,92.18,93.33,90.82,91.41,91.33,2111562.0,Tesla,Automotive,91.03,91.23,-0.0141
2021-03-21,89.94,91.21,88.85,90.44,90.06,100209.0,Apple,Technology,91.0,91.16,-0.0106
2021-03-22,89.94,90.4,88.47,89.57,89.66,322071.0,Amazon,E-Commerce,90.97,91.07,-0.0096
2021-03-23,90.15,91.77,88.94,91.09,91.48,3906627.0,Tesla,Automotive,91.0,90.99,0.017
2021-03-24,92.06,93.56,91.52,92.7,92.8,3003561.0,Amazon,E-Commerce,91.18,90.93,0.0177
2021-03-25,91.67,92.84,89.86,90.81,90.93,2558884.0,Apple,Technology,91.36,90.86,-0.0204
2021-03-26,89.99,91.09,89.0,90.11,90.22,3107446.0,Amazon,E-Commerce,91.42,90.75,-0.0077
2021-03-27,89.21,90.85,88.56,90.31,90.39,316194.0,Tesla,Automotive,91.41,90.68,0.0022
2021-03-28,89.88,92.15,89.31,90.6,90.79,2554082.0,Microsoft,Technology,91.47,90.6,0.0032
2021-03-29,91.38,92.26,89.82,91.1,91.18,2585702.0,Amazon,E-Commerce,91.48,90.57,0.0055
2021-03-30,90.04,91.79,89.17,90.61,90.54,3697326.0,Tesla,Automotive,91.43,90.57,-0.0054
2021-03-31,90.03,90.9,89.04,90.15,89.99,107399.0,Tesla,Automotive,91.42,90.56,-0.0051
2021-04-01,91.4,92.36,90.64,91.2,91.15,2295814.0,Apple,Technology,91.4,90.53,0.0116
2021-04-02,93.42,94.47,91.39,91.83,91.89,3541489.0,Tesla,Automotive,91.31,90.51,0.0069
2021-04-03,91.47,92.63,90.6,91.22,91.16,4957162.0,Microsoft,Technology,91.27,90.5,-0.0066
2021-04-04,91.56,92.98,90.8,91.87,91.93,1134023.0,Microsoft,Technology,91.2,90.5,0.0071
2021-04-05,90.79,91.85,89.64,90.12,90.21,493545.0,Amazon,E-Commerce,91.13,90.5,-0.019
2021-04-06,89.24,90.4,88.44,89.69,89.86,400763.0,Amazon,E-Commerce,90.99,90.5,-0.0048
2021-04-07,90.04,90.67,89.15,89.44,89.7,1155608.0,Amazon,E-Commerce,90.85,90.5,-0.0028
2021-04-08,89.7,90.6,89.24,89.7,89.72,3949182.0,Amazon,E-Commerce,90.7,90.5,0.0029
2021-04-09,89.98,91.33,88.98,90.25,89.98,3545906.0,Microsoft,Technology,90.64,90.5,0.0061
2021-04-10,89.78,90.52,88.8,89.79,89.72,1664458.0,Apple,Technology,90.61,90.53,-0.0051
2021-04-11,87.87,89.6,87.18,88.49,88.49,2021166.0,Amazon,E-Commerce,90.55,90.53,-0.0145
2021-04-12,88.28,89.51,87.77,88.26,87.9,1766984.0,Apple,Technology,90.41,90.53,-0.0026
2021-04-13,87.35,87.87,86.78,87.27,87.55,4342154.0,Tesla,Automotive,90.14,90.51,-0.0112
2021-04-14,86.26,86.88,85.57,86.33,86.36,1677586.0,Tesla,Automotive,89.92,90.48,-0.0108
2021-04-15,86.74,87.5,84.94,85.93,86.01,4574220.0,Amazon,E-Commerce,89.71,90.39,-0.0046
2021-04-16,86.43,87.36,85.35,86.46,86.74,448249.0,Tesla,Automotive,89.52,90.3,0.0062
2021-04-17,88.78,90.88,88.13,90.24,90.11,4729199.0,Apple,Technology,89.5,90.31,0.0437
2021-04-18,88.93,90.77,88.48,89.56,89.68,1086275.0,Apple,Technology,89.42,90.31,-0.0075
2021-04-19,89.74,90.67,87.64,88.52,88.5,4298880.0,Tesla,Automotive,89.32,90.28,-0.0116
2021-04-20,89.36,90.17,87.91,88.46,88.42,1510124.0,Amazon,E-Commerce,89.23,90.24,-0.0007
2021-04-21,87.19,87.81,86.55,87.44,87.29,2632000.0,Apple,Technology,89.04,90.18,-0.0115
2021-04-22,87.58,87.99,86.25,87.45,87.78,1714340.0,Apple,Technology,88.82,90.12,0.0001
2021-04-23,87.93,88.82,86.46,87.51,87.44,3494020.0,Microsoft,Technology,88.64,90.08,0.0007
2021-04-24,89.98,90.14,88.72,89.57,89.71,1572077.0,Amazon,E-Commerce,88.52,90.13,0.0235
2021-04-25,89.51,90.62,89.03,89.44,89.07,910586.0,Microsoft,Technology,88.49,90.14,-0.0015
2021-04-26,89.15,90.72,88.29,89.97,90.21,1528931.0,Tesla,Automotive,88.5,90.13,0.0059
2021-04-27,89.24,91.59,88.12,89.82,90.03,3814534.0,Tesla,Automotive,88.52,90.14,-0.0017
2021-04-28,,89.94,86.81,87.5,87.51,1699826.0,Microsoft,Technology,88.41,90.07,-0.0258
2021-04-29,89.44,90.38,88.24,89.63,89.59,2960597.0,Amazon,E-Commerce,88.38,90.04,0.0243
2021-04-30,90.41,91.17,88.89,90.07,90.15,1448483.0,Apple,Technology,88.4,90.03,0.0049
2021-05-01,91.32,92.48,90.02,91.38,91.84,4410493.0,Tesla,Automotive,88.54,90.03,0.0145
2021-05-02,90.65,93.18,89.75,91.87,91.52,,Amazon,E-Commerce,88.72,89.99,0.0054
2021-05-03,91.75,92.28,90.77,91.97,92.12,1081598.0,Amazon,E-Commerce,88.96,89.99,0.0011
2021-05-04,90.63,90.89,89.0,90.23,90.04,4142974.0,Tesla,Automotive,89.15,89.93,-0.0189
2021-05-05,91.0,92.04,90.07,91.43,91.43,905896.0,Tesla,Automotive,89.43,89.93,0.0133
2021-05-06,92.17,94.38,91.52,93.4,93.35,1059540.0,Amazon,E-Commerce,89.77,89.94,0.0215
2021-05-07,91.7,93.33,91.03,92.38,92.29,2321132.0,Apple,Technology,89.88,89.95,-0.0109
2021-05-08,91.53,93.03,90.66,91.91,91.9,3288027.0,Microsoft,Technology,90.0,89.93,-0.0051
2021-05-09,91.1,93.17,90.68,92.73,92.5,841165.0,Tesla,Automotive,90.21,89.96,0.0089
2021-05-10,91.5,91.6,89.88,90.63,90.84,131541.0,Microsoft,Technology,90.32,89.96,-0.0226
2021-05-11,90.41,91.47,88.76,89.89,89.53,575759.0,Amazon,E-Commerce,90.44,89.97,-0.0082
2021-05-12,90.33,90.88,89.11,,89.36,,Microsoft,Technology,90.53,89.93,-0.0071
2021-05-13,88.55,89.13,87.29,88.93,88.87,4423492.0,Apple,Technology,90.6,89.85,-0.0036
2021-05-14,89.87,90.72,87.53,88.67,88.43,308150.0,Amazon,E-Commerce,90.56,89.81,-0.0029
2021-05-15,88.28,89.32,87.34,88.0,88.04,2673338.0,Apple,Technology,90.48,89.77,-0.0076
2021-05-16,89.59,90.37,88.63,89.61,89.3,1958777.0,Amazon,E-Commerce,90.46,89.76,0.0183
2021-05-17,88.67,90.13,87.87,89.46,89.47,580620.0,Apple,Technology,90.45,89.73,-0.0017
2021-05-18,88.5,89.86,87.33,89.11,88.83,4838748.0,Amazon,E-Commerce,90.53,89.69,-0.0039
2021-05-19,,89.96,87.75,88.84,88.94,4963099.0,Apple,Technology,90.49,89.66,-0.003
2021-05-20,88.32,88.72,87.88,88.26,88.08,1222207.0,Amazon,E-Commerce,90.4,89.62,-0.0065
2021-05-21,88.54,89.13,87.13,88.11,88.02,924341.0,Apple,Technology,90.23,89.56,-0.0017
2021-05-22,89.77,90.73,88.4,89.14,89.2,2790927.0,Amazon,E-Commerce,90.1,89.5,0.0117
2021-05-23,88.38,89.28,87.23,88.05,87.9,3136124.0,Apple,Technology,89.9,89.44,-0.0122
2021-05-24,88.94,89.79,87.61,88.19,88.18,2682977.0,Tesla,Automotive,89.8,89.37,0.0016
2021-05-25,89.08,90.32,87.76,89.82,89.52,4604103.0,Microsoft,Technology,89.72,89.36,0.0185
2021-05-26,88.65,90.35,87.53,89.61,89.73,527557.0,Amazon,E-Commerce,89.53,89.36,-0.0023
2021-05-27,86.88,87.61,86.3,87.46,87.82,1915599.0,Apple,Technology,89.28,89.32,-0.024
2021-05-28,87.3,88.15,86.15,86.55,87.11,3297514.0,Tesla,Automotive,89.02,89.26,-0.0104
2021-05-29,86.67,89.09,85.99,87.86,87.88,2265456.0,Amazon,E-Commerce,88.77,89.21,0.0151
2021-05-30,87.54,89.05,86.61,88.7,88.85,465750.0,Amazon,E-Commerce,88.68,89.19,0.0096
2021-05-31,87.32,87.94,86.24,87.11,86.75,584103.0,Amazon,E-Commerce,88.54,89.16,-0.0179
2021-06-01,87.35,88.25,86.13,87.31,87.61,2252259.0,Microsoft,Technology,88.44,89.14,0.0023
2021-06-02,87.84,89.68,86.8,88.5,88.66,2719210.0,Apple,Technology,88.42,89.17,0.0136
2021-06-03,88.18,88.85,86.9,87.99,87.9,3490919.0,Apple,Technology,88.38,89.2,-0.0058
2021-06-04,87.8,88.4,86.76,87.66,87.91,1805096.0,Amazon,E-Commerce,88.37,89.23,-0.0038
2021-06-05,86.08,87.86,85.7,87.65,87.6,4555237.0,Amazon,E-Commerce,88.27,89.26,-0.0001
2021-06-06,88.97,89.8,87.19,87.93,87.84,2479220.0,Amazon,E-Commerce,88.19,89.21,0.0032
2021-06-07,89.91,91.33,88.6,89.72,89.82,3619065.0,Tesla,Automotive,88.22,89.21,0.0204
2021-06-08,87.79,89.57,87.0,88.69,88.48,1884210.0,Amazon,E-Commerce,88.22,89.22,-0.0115
2021-06-09,89.28,90.44,88.32,89.65,89.85,,Microsoft,Technology,88.28,89.24,0.0108
2021-06-10,88.2,89.1,87.0,87.7,87.49,1844919.0,Apple,Technology,88.26,89.25,-0.0218
2021-06-11,89.29,90.08,88.55,89.04,88.83,1128719.0,Microsoft,Technology,88.26,89.28,0.0153
2021-06-12,90.21,90.77,88.93,89.69,89.51,1686987.0,Amazon,E-Commerce,88.34,89.32,0.0073
2021-06-13,88.85,90.51,87.95,89.46,89.61,2919127.0,Tesla,Automotive,88.4,89.32,-0.0026
2021-06-14,90.9,91.76,89.25,89.85,89.73,2032919.0,Amazon,E-Commerce,88.41,89.33,0.0044
2021-06-15,90.63,91.44,89.78,90.51,90.24,2249151.0,Amazon,E-Commerce,88.45,89.34,0.0073
2021-06-16,91.52,92.03,90.52,91.03,90.91,1966161.0,Amazon,E-Commerce,88.63,89.36,0.0057
2021-06-17,92.96,94.95,91.83,93.75,93.75,363356.0,Amazon,E-Commerce,88.99,89.49,0.0299
2021-06-18,92.96,94.61,92.25,93.61,93.38,1227360.0,Amazon,E-Commerce,89.28,89.57,-0.0015
2021-06-19,91.99,92.95,90.75,92.31,92.08,443288.0,Apple,Technology,89.46,89.61,-0.0139
2021-06-20,91.45,92.66,90.2,91.56,91.98,2102507.0,Microsoft,Technology,89.68,89.62,-0.0081
2021-06-21,91.58,92.23,89.22,90.0,89.83,2752808.0,Tesla,Automotive,89.82,89.58,-0.017
2021-06-22,89.96,91.06,89.46,90.5,90.43,3971907.0,Amazon,E-Commerce,89.92,89.55,0.0056
2021-06-23,90.18,91.54,90.01,90.96,90.89,2878366.0,Tesla,Automotive,90.06,89.56,0.0051
2021-06-24,92.0,92.84,91.64,92.58,92.49,4877376.0,Apple,Technology,90.31,89.59,0.0178
2021-06-25,91.99,92.93,91.15,91.54,91.66,2588489.0,Microsoft,Technology,90.5,89.55,-0.0112
2021-06-26,91.77,93.09,90.56,92.84,93.03,1510364.0,Amazon,E-Commerce,90.75,89.56,0.0142
2021-06-27,94.08,94.51,93.22,94.06,94.0,1458293.0,Apple,Technology,90.97,89.6,0.0131
2021-06-28,92.99,93.61,92.07,93.43,93.19,2011128.0,Apple,Technology,91.2,89.62,-0.0067
2021-06-29,96.93,97.7,96.76,96.89,97.15,3784796.0,Microsoft,Technology,91.57,89.74,0.037
2021-06-30,96.98,97.73,96.39,96.83,96.81,4856497.0,Amazon,E-Commerce,92.02,89.88,-0.0006
2021-07-01,95.54,96.68,94.47,95.98,96.32,3886065.0,Microsoft,Technology,92.37,90.01,-0.0088
2021-07-02,95.79,96.28,93.8,94.69,94.24,4948243.0,Microsoft,Technology,92.62,90.13,-0.0134
2021-07-03,94.89,96.25,94.14,95.81,95.85,3803375.0,Tesla,Automotive,92.94,90.27,0.0118
2021-07-04,95.34,96.46,94.37,95.52,95.9,2525358.0,Tesla,Automotive,93.22,90.42,-0.003
2021-07-05,95.83,96.47,94.08,95.37,95.3,3843407.0,Microsoft,Technology,93.46,90.54,-0.0016
2021-07-06,96.81,97.7,94.77,95.5,95.45,4393900.0,Tesla,Automotive,93.69,90.66,0.0014
2021-07-07,96.87,97.4,95.16,95.98,96.04,4017430.0,Apple,Technology,93.8,90.8,0.005
2021-07-08,95.25,96.11,93.98,94.84,94.73,3078602.0,Microsoft,Technology,93.86,90.92,-0.0119
2021-07-09,93.35,94.88,91.83,93.69,93.63,1951579.0,Amazon,E-Commerce,93.93,91.02,-0.0121
2021-07-10,93.51,94.87,93.34,93.9,93.83,774502.0,Amazon,E-Commerce,94.05,91.14,0.0022
2021-07-11,93.79,94.58,92.79,93.91,93.78,2205777.0,Apple,Technology,94.24,91.24,0.0001
2021-07-12,95.35,96.23,93.56,94.33,94.57,3628597.0,Amazon,E-Commerce,94.43,91.36,0.0045
2021-07-13,93.17,93.9,92.16,93.13,93.22,4703446.0,Amazon,E-Commerce,94.54,91.46,-0.0127
2021-07-14,93.09,94.5,92.49,93.7,93.75,2490514.0,Microsoft,Technology,94.6,91.54,0.0061
2021-07-15,93.75,94.46,91.75,92.54,92.7,,Apple,Technology,94.65,91.6,-0.0124
2021-07-16,92.1,93.22,91.09,92.47,92.42,3790582.0,Microsoft,Technology,94.63,91.7,-0.0008
2021-07-17,92.44,93.9,90.71,93.04,92.88,2226869.0,Apple,Technology,94.58,91.83,0.0062
2021-07-18,93.59,94.09,92.55,93.59,93.47,3951072.0,Microsoft,Technology,94.59,91.94,0.0059
2021-07-19,91.52,92.1,90.97,91.6,91.6,1042639.0,Microsoft,Technology,94.32,92.0,-0.0213
2021-07-20,91.68,92.06,90.59,91.27,91.05,1091993.0,Tesla,Automotive,94.04,92.08,-0.0036
2021-07-21,93.03,93.39,92.37,93.07,92.97,1610902.0,Amazon,E-Commerce,93.9,92.2,0.0197
2021-07-22,94.44,94.88,93.27,93.53,93.43,2548966.0,Apple,Technology,93.84,92.3,0.0049
2021-07-23,95.26,96.11,93.61,94.31,94.73,3596610.0,Amazon,E-Commerce,93.76,92.42,0.0083
2021-07-24,94.02,94.55,92.19,93.21,92.66,2849580.0,Tesla,Automotive,93.65,92.54,-0.0117
2021-07-25,92.21,93.45,91.79,92.49,92.46,4396841.0,Apple,Technology,93.5,92.63,-0.0077
2021-07-26,92.39,93.61,91.28,92.8,93.14,1919201.0,Tesla,Automotive,93.37,92.73,0.0034
2021-07-27,,94.57,91.57,92.51,92.54,1380280.0,Amazon,E-Commerce,93.2,92.79,-0.0031
2021-07-28,93.97,95.57,93.39,94.58,94.73,2950310.0,Microsoft,Technology,93.18,92.9,0.0224
2021-07-29,97.86,99.66,97.1,98.62,98.64,4115789.0,Tesla,Automotive,93.43,93.08,0.0427
2021-07-30,99.22,99.72,97.6,98.88,98.75,691058.0,Tesla,Automotive,93.68,93.31,0.0026
2021-07-31,99.97,100.89,98.1,99.12,98.67,3827661.0,Microsoft,Technology,93.94,93.51,0.0024
2021-08-01,100.87,101.41,99.74,100.54,100.58,1776373.0,Amazon,E-Commerce,94.25,93.72,0.0143
2021-08-02,102.38,103.21,100.56,101.29,101.14,1379372.0,Tesla,Automotive,94.66,93.96,0.0075
2021-08-03,100.66,101.7,99.83,101.28,101.12,4195228.0,Amazon,E-Commerce,95.04,94.19,-0.0001
2021-08-04,102.2,102.46,101.43,102.07,101.97,548402.0,Microsoft,Technology,95.51,94.42,0.0078
2021-08-05,100.99,101.68,100.43,100.6,100.95,2549851.0,Apple,Technology,95.92,94.61,-0.0144
2021-08-06,100.86,101.63,99.36,100.77,101.25,381833.0,Tesla,Automotive,96.31,94.75,0.0017
2021-08-07,101.01,101.69,99.62,100.47,100.51,1635834.0,Amazon,E-Commerce,96.65,94.89,-0.003
2021-08-08,100.58,101.5,99.66,101.05,100.96,2542547.0,Microsoft,Technology,97.12,95.06,0.0058
2021-08-09,102.91,103.67,102.13,102.99,102.76,1336968.0,Microsoft,Technology,97.71,95.29,0.0192
2021-08-10,101.31,102.19,100.59,101.17,101.26,3178882.0,Tesla,Automotive,98.11,95.52,-0.0177
2021-08-11,101.28,102.29,100.53,101.5,101.86,1860027.0,Apple,Technology,98.51,95.74,0.0033
2021-08-12,99.43,101.41,99.11,100.55,100.5,1621093.0,Tesla,Automotive,98.82,95.93,-0.0094
2021-08-13,98.85,100.18,97.37,99.58,99.1,2088022.0,Amazon,E-Commerce,99.14,96.07,-0.0096
2021-08-14,99.48,101.18,99.05,100.03,100.17,4530806.0,Microsoft,Technology,99.52,96.24,0.0045
2021-08-15,101.56,102.0,100.74,101.23,101.43,3152687.0,Apple,Technology,99.94,96.41,0.012
2021-08-16,98.9,100.74,98.23,,99.48,122551.0,Amazon,E-Commerce,100.31,96.52,-0.0141
2021-08-17,98.62,99.78,97.33,98.51,98.55,3293796.0,Tesla,Automotive,100.5,96.62,-0.0129
2021-08-18,99.28,100.22,98.37,99.17,99.26,193608.0,Microsoft,Technology,100.53,96.67,0.0067
2021-08-19,98.84,99.58,98.4,98.83,98.82,2757001.0,Tesla,Automotive,100.53,96.71,-0.0034
2021-08-20,99.31,99.95,97.95,99.13,98.97,3379692.0,Apple,Technology,100.53,96.77,0.003
2021-08-21,99.38,100.49,98.02,,99.25,386539.0,Apple,Technology,100.45,96.86,-0.0009
2021-08-22,98.0,98.82,97.04,98.45,98.37,1691620.0,Apple,Technology,100.31,96.91,-0.006
2021-08-23,100.35,101.8,99.34,101.29,100.99,2153790.0,Apple,Technology,100.31,97.03,0.0288
2021-08-24,101.21,102.29,99.69,101.61,101.2,3149307.0,Apple,Technology,100.29,97.15,0.0032
2021-08-25,98.92,100.31,97.47,99.14,99.39,4622781.0,Tesla,Automotive,100.22,97.22,-0.0243
2021-08-26,100.04,100.95,99.11,99.7,99.83,2664113.0,Apple,Technology,100.16,97.3,0.0056
2021-08-27,98.82,99.33,96.77,98.05,98.07,4794059.0,Apple,Technology,100.04,97.36,-0.0165
2021-08-28,99.79,100.5,98.71,99.62,99.53,2901818.0,Microsoft,Technology,99.97,97.48,0.016
2021-08-29,98.96,100.15,98.01,99.54,99.43,4145721.0,Apple,Technology,99.8,97.59,-0.0008
2021-08-30,99.1,99.69,98.11,98.41,98.19,1963032.0,Microsoft,Technology,99.66,97.68,-0.0114
2021-08-31,99.11,100.21,97.85,98.6,98.51,3189809.0,Microsoft,Technology,99.51,97.77,0.0019
2021-09-01,99.24,99.95,98.68,99.56,99.14,2324344.0,Microsoft,Technology,99.46,97.9,0.0097
2021-09-02,98.89,100.17,97.09,98.14,97.99,1478148.0,Tesla,Automotive,99.39,97.99,-0.0143
2021-09-03,98.03,99.07,96.84,97.96,97.9,3144410.0,Tesla,Automotive,99.29,98.1,-0.0018
2021-09-04,97.61,98.82,97.44,97.69,97.81,4756480.0,Amazon,E-Commerce,99.11,98.2,-0.0028
2021-09-05,97.52,98.18,95.73,96.52,96.51,4162118.0,Amazon,E-Commerce,98.95,98.27,-0.012
2021-09-06,99.61,100.36,97.86,99.0,99.16,338826.0,Microsoft,Technology,98.97,98.38,0.0257
2021-09-07,99.4,100.22,98.66,99.85,100.12,1817354.0,Tesla,Automotive,99.01,98.54,0.0086
